Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"QCL","Crops and livestock products","566","Nigeria","5312","Area harvested","01520.01","Cassava, fresh","2023","2023","ha","10127666","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","566","Nigeria","5412","Yield","01520.01","Cassava, fresh","2023","2023","kg/ha","6196.1","E","Estimated value",""
"QCL","Crops and livestock products","566","Nigeria","5510","Production","01520.01","Cassava, fresh","2023","2023","t","62751586.43","E","Estimated value",""
"QCL","Crops and livestock products","566","Nigeria","5312","Area harvested","0112","Maize (corn)","2015","2015","ha","5550360","A","Official figure",""
"QCL","Crops and livestock products","566","Nigeria","5412","Yield","0112","Maize (corn)","2015","2015","kg/ha","1718.8","A","Official figure",""
"QCL","Crops and livestock products","566","Nigeria","5510","Production","0112","Maize (corn)","2015","2015","t","9540190","A","Official figure",""
"QCL","Crops and livestock products","566","Nigeria","5312","Area harvested","0112","Maize (corn)","2016","2016","ha","5904906","A","Official figure",""
"QCL","Crops and livestock products","566","Nigeria","5412","Yield","0112","Maize (corn)","2016","2016","kg/ha","1783.7","A","Official figure",""
"QCL","Crops and livestock products","566","Nigeria","5510","Production","0112","Maize (corn)","2016","2016","t","10532340","A","Official figure",""
"QCL","Crops and livestock products","566","Nigeria","5312","Area harvested","0112","Maize (corn)","2017","2017","ha","6389296","A","Official figure",""
"QCL","Crops and livestock products","566","Nigeria","5412","Yield","0112","Maize (corn)","2017","2017","kg/ha","1664.1","A","Official figure",""
"QCL","Crops and livestock products","566","Nigeria","5510","Production","0112","Maize (corn)","2017","2017","t","10632299","A","Official figure",""
"QCL","Crops and livestock products","566","Nigeria","5312","Area harvested","0112","Maize (corn)","2018","2018","ha","6541183","A","Official figure",""
"QCL","Crops and livestock products","566","Nigeria","5412","Yield","0112","Maize (corn)","2018","2018","kg/ha","1671.6","A","Official figure",""
"QCL","Crops and livestock products","566","Nigeria","5510","Production","0112","Maize (corn)","2018","2018","t","10934149","A","Official figure",""
"QCL","Crops and livestock products","566","Nigeria","5312","Area harvested","0112","Maize (corn)","2019","2019","ha","6783924","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","566","Nigeria","5412","Yield","0112","Maize (corn)","2019","2019","kg/ha","1857.2","E","Estimated value",""
"QCL","Crops and livestock products","566","Nigeria","5510","Production","0112","Maize (corn)","2019","2019","t","12598945","A","Official figure",""
"QCL","Crops and livestock products","566","Nigeria","5312","Area harvested","0112","Maize (corn)","2020","2020","ha","6048600","A","Official figure",""
"QCL","Crops and livestock products","566","Nigeria","5412","Yield","0112","Maize (corn)","2020","2020","kg/ha","2050.6","A","Official figure",""
"QCL","Crops and livestock products","566","Nigeria","5510","Production","0112","Maize (corn)","2020","2020","t","12403300","A","Official figure",""
"QCL","Crops and livestock products","566","Nigeria","5312","Area harvested","0112","Maize (corn)","2021","2021","ha","6205280","A","Official figure",""
"QCL","Crops and livestock products","566","Nigeria","5412","Yield","0112","Maize (corn)","2021","2021","kg/ha","2053.8","A","Official figure",""
"QCL","Crops and livestock products","566","Nigeria","5510","Production","0112","Maize (corn)","2021","2021","t","12744450","A","Official figure",""
"QCL","Crops and livestock products","566","Nigeria","5312","Area harvested","0112","Maize (corn)","2022","2022","ha","5800000","X","Figure from external organization","Unofficial figure"
"QCL","Crops and livestock products","566","Nigeria","5412","Yield","0112","Maize (corn)","2022","2022","kg/ha","2232.6","X","Figure from external organization",""
"QCL","Crops and livestock products","566","Nigeria","5510","Production","0112","Maize (corn)","2022","2022","t","12948920","X","Figure from external organization","Unofficial figure"
"QCL","Crops and livestock products","566","Nigeria","5312","Area harvested","0112","Maize (corn)","2023","2023","ha","5700000","X","Figure from external organization","Unofficial figure"
"QCL","Crops and livestock products","566","Nigeria","5412","Yield","0112","Maize (corn)","2023","2023","kg/ha","1939.1","X","Figure from external organization",""
"QCL","Crops and livestock products","566","Nigeria","5510","Production","0112","Maize (corn)","2023","2023","t","11053000","X","Figure from external organization","Unofficial figure"
"QCL","Crops and livestock products","566","Nigeria","5312","Area harvested","01540","Yams","2015","2015","ha","5389870","A","Official figure",""
"QCL","Crops and livestock products","566","Nigeria","5412","Yield","01540","Yams","2015","2015","kg/ha","8182.7","A","Official figure",""
"QCL","Crops and livestock products","566","Nigeria","5510","Production","01540","Yams","2015","2015","t","44103900","A","Official figure",""
"QCL","Crops and livestock products","566","Nigeria","5312","Area harvested","01540","Yams","2016","2016","ha","5347483","A","Official figure",""
"QCL","Crops and livestock products","566","Nigeria","5412","Yield","01540","Yams","2016","2016","kg/ha","9159.9","A","Official figure",""
"QCL","Crops and livestock products","566","Nigeria","5510","Production","01540","Yams","2016","2016","t","48982621","A","Official figure",""
"QCL","Crops and livestock products","566","Nigeria","5312","Area harvested","01540","Yams","2017","2017","ha","5276098","A","Official figure",""
"QCL","Crops and livestock products","566","Nigeria","5412","Yield","01540","Yams","2017","2017","kg/ha","9385.6","A","Official figure",""
"QCL","Crops and livestock products","566","Nigeria","5510","Production","01540","Yams","2017","2017","t","49519100","A","Official figure",""
"QCL","Crops and livestock products","566","Nigeria","5312","Area harvested","01540","Yams","2018","2018","ha","5427899","A","Official figure",""
"QCL","Crops and livestock products","566","Nigeria","5412","Yield","01540","Yams","2018","2018","kg/ha","10199.9","A","Official figure",""
"QCL","Crops and livestock products","566","Nigeria","5510","Production","01540","Yams","2018","2018","t","55363999","A","Official figure",""
"QCL","Crops and livestock products","566","Nigeria","5312","Area harvested","01540","Yams","2019","2019","ha","6778080","A","Official figure",""
"QCL","Crops and livestock products","566","Nigeria","5412","Yield","01540","Yams","2019","2019","kg/ha","7806.8","A","Official figure",""
"QCL","Crops and livestock products","566","Nigeria","5510","Production","01540","Yams","2019","2019","t","52914910","A","Official figure",""
"QCL","Crops and livestock products","566","Nigeria","5312","Area harvested","01540","Yams","2020","2020","ha","7128080","A","Official figure",""
"QCL","Crops and livestock products","566","Nigeria","5412","Yield","01540","Yams","2020","2020","kg/ha","7904.7","A","Official figure",""
"QCL","Crops and livestock products","566","Nigeria","5510","Production","01540","Yams","2020","2020","t","56345530","A","Official figure",""
"QCL","Crops and livestock products","566","Nigeria","5312","Area harvested","01540","Yams","2021","2021","ha","7498130","A","Official figure",""
"QCL","Crops and livestock products","566","Nigeria","5412","Yield","01540","Yams","2021","2021","kg/ha","7986.5","A","Official figure",""
"QCL","Crops and livestock products","566","Nigeria","5510","Production","01540","Yams","2021","2021","t","59884050","A","Official figure",""
"QCL","Crops and livestock products","566","Nigeria","5312","Area harvested","01540","Yams","2022","2022","ha","7467286","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","566","Nigeria","5412","Yield","01540","Yams","2022","2022","kg/ha","8182.4","E","Estimated value",""
"QCL","Crops and livestock products","566","Nigeria","5510","Production","01540","Yams","2022","2022","t","61100194.52","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","566","Nigeria","5312","Area harvested","01540","Yams","2023","2023","ha","7613167","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","566","Nigeria","5412","Yield","01540","Yams","2023","2023","kg/ha","8193.5","E","Estimated value",""
"QCL","Crops and livestock products","566","Nigeria","5510","Production","01540","Yams","2023","2023","t","62378631.04","I","Value imputed by a receiving agency",""
